name,description,address,postalCode,latlng,status,companyName,domainName
Eco Dua@Taman Sentosa Klang Branch,,"No.2 (Grd, 1st & 2nd Floor), Jalan Bendahara 8/KS07, Off Jalan Sungai Sejati, Taman Sejati, Kota Raja, 41200 Klang, Selangor.",41200,,ACTIVE,Eco Dua@Taman Sentosa Klang Branch,ECO DUA
Eco Dua@Tanjung Minyak Branch,,"No. 10, 12, 14, 20, 22, 24, 26 (Ground Floor), 16, 18 (Ground & 1st Floor), Jalan Cheng indah, 75260 Melaka.",75260,,ACTIVE,Eco Dua@Tanjung Minyak Branch,ECO DUA
Eco Dua@Segamat Branch,,"A008, U Sentral Segamat, Jalan Utama 3/2, Taman Utama, 85000 Segamat, Johor.",85000,,ACTIVE,Eco Dua@Segamat Branch,ECO DUA
Eco Dua@Paka Branch,,"Lot 10526, 10527, 10528, 10529, Wisma Yura, Jalan Besar,23100 Paka, Dungun, Terengganu.",23100,,ACTIVE,Eco Dua@Paka Branch,ECO DUA
Eco Dua@Subang Baru Branch,,"Lot F2, PT 17920, Seksyen U9, 40150 Shah Alam, Selangor Darul Ehsan",40150,,ACTIVE,Eco Dua@Subang Baru Branch,ECO DUA
Eco Dua@Port Dickson 1 Branch,,"49, 51 Jalan Raja Aman Shah, 71000 Port Dickson, N Sembilan.",71000,,ACTIVE,Eco Dua@Port Dickson 1 Branch,ECO DUA
Eco Dua@Kempas Branch,,"No 17, 19, 21, 23, 25 (Ground Floor), No 19-01, 21-01(1St Floor), Jalan Cengkerik 5, Pusat Perdagangan Kempas, 81200, Johor Bahru.",81200,,ACTIVE,Eco Dua@Kempas Branch,ECO DUA
Eco Dua@Kuala Besut Branch,,"Pt 7009 & 7010 (Grd ,1St Floor), Jalan Utama Tok Bali, Kuala Besut, 16800 Pasir Puteh, Kelantan.",16800,,ACTIVE,Eco Dua@Kuala Besut Branch,ECO DUA
Eco Dua@Tasek Gelugor Penang Branch,,"No.51,53,55,57 (Ground Floor & 1st Floor), Jalan Komersial 2, Pusat Komersial Tasek Gelugor, 13300 Tasek Gelugor, Pulau Pinang.",13300,,ACTIVE,Eco Dua@Tasek Gelugor Penang Branch,ECO DUA
Eco Dua@Parit Buntar Branch,,"No. 49, Jalan Wawasan 1, Taman Wawasan Jaya, 34200 Parit Buntar, Perak.",34200,,ACTIVE,Eco Dua@Parit Buntar Branch,ECO DUA
Eco Dua@Teluk Ayer Tawar Branch,,"No.11, 11A, 15, 17, 19,(Ground Floor), 21 (Ground, 1st & 2nd Floor), Lorong Bayu Aman 1, Taman Bayu Aman, 13050 Butterworth, Pulau Pinang.",13050,,ACTIVE,Eco Dua@Teluk Ayer Tawar Branch,ECO DUA
Eco Dua@Jitra Branch,,"No. 1, 2, 3, 4, 5, 6, 7, 8 (Grd Flr), Lot PT3513, Kawasan Kilang Bandar, Darul Aman, Daerah Kubang Pasu, 06000 Jitra, Kedah Darul Aman.",06000,,ACTIVE,Eco Dua@Jitra Branch,ECO DUA
