warehouse_name,zone,row,column,shelf,status
Warehouse F,05,01,01,A,empty
Warehouse F,05,01,02,A,empty
Warehouse F,05,01,03,A,empty
Warehouse F,05,01,04,A,empty
Warehouse F,05,01,05,A,empty
Warehouse F,05,01,06,A,empty
Warehouse F,05,01,07,A,empty
Warehouse F,05,01,08,A,empty
Warehouse F,05,01,09,A,empty
Warehouse F,05,01,10,A,empty
Warehouse F,05,01,11,A,empty
Warehouse F,05,01,12,A,empty
Warehouse F,05,01,13,A,empty
Warehouse F,05,01,14,A,empty
Warehouse F,05,01,15,A,empty
Warehouse F,05,01,16,A,empty
Warehouse F,05,01,01,B,empty
Warehouse F,05,01,02,B,empty
Warehouse F,05,01,03,B,empty
Warehouse F,05,01,04,B,empty
Warehouse F,05,01,05,B,empty
Warehouse F,05,01,06,B,empty
Warehouse F,05,01,07,B,empty
Warehouse F,05,01,08,B,empty
Warehouse F,05,01,09,B,empty
Warehouse F,05,01,10,B,empty
Warehouse F,05,01,11,B,empty
Warehouse F,05,01,12,B,empty
Warehouse F,05,01,13,B,empty
Warehouse F,05,01,14,B,empty
Warehouse F,05,01,15,B,empty
Warehouse F,05,01,16,B,empty
Warehouse F,05,01,01,C,empty
Warehouse F,05,01,02,C,empty
Warehouse F,05,01,03,C,empty
Warehouse F,05,01,04,C,empty
Warehouse F,05,01,05,C,empty
Warehouse F,05,01,06,C,empty
Warehouse F,05,01,07,C,empty
Warehouse F,05,01,08,C,empty
Warehouse F,05,01,09,C,empty
Warehouse F,05,01,10,C,empty
Warehouse F,05,01,11,C,empty
Warehouse F,05,01,12,C,empty
Warehouse F,05,01,13,C,empty
Warehouse F,05,01,14,C,empty
Warehouse F,05,01,15,C,empty
Warehouse F,05,01,16,C,empty
Warehouse F,05,30,01,D,empty
Warehouse F,05,30,02,D,empty
Warehouse F,05,30,03,D,empty
Warehouse F,05,30,04,D,empty
Warehouse F,05,30,05,D,empty
Warehouse F,05,30,06,D,empty
Warehouse F,05,30,07,D,empty
Warehouse F,05,30,08,D,empty
Warehouse F,05,30,09,D,empty
Warehouse F,05,30,10,D,empty
Warehouse F,05,30,11,D,empty
Warehouse F,05,30,12,D,empty
Warehouse F,05,30,13,D,empty
Warehouse F,05,30,14,D,empty
Warehouse F,05,30,15,D,empty
Warehouse F,05,30,16,D,empty
Warehouse F,05,30,01,G,empty
Warehouse F,05,30,02,G,empty
Warehouse F,05,30,03,G,empty
Warehouse F,05,30,04,G,empty
Warehouse F,05,30,05,G,empty
Warehouse F,05,30,06,G,empty
Warehouse F,05,30,07,G,empty
Warehouse F,05,30,08,G,empty
Warehouse F,05,30,09,G,empty
Warehouse F,05,30,10,G,empty
Warehouse F,05,30,11,G,empty
Warehouse F,05,30,12,G,empty
Warehouse F,05,30,13,G,empty
Warehouse F,05,30,14,G,empty
Warehouse F,05,30,15,G,empty
Warehouse F,05,30,16,G,empty
Warehouse F,05,30,01,H,empty
Warehouse F,05,30,02,H,empty
Warehouse F,05,30,03,H,empty
Warehouse F,05,30,04,H,empty
Warehouse F,05,30,05,H,empty
Warehouse F,05,30,06,H,empty
Warehouse F,05,30,07,H,empty
Warehouse F,05,30,08,H,empty
Warehouse F,05,30,09,H,empty
Warehouse F,05,30,10,H,empty
Warehouse F,05,30,11,H,empty
Warehouse F,05,30,12,H,empty
Warehouse F,05,30,13,H,empty
Warehouse F,05,30,14,H,empty
Warehouse F,05,30,15,H,empty
Warehouse F,05,30,16,H,empty
Warehouse F,05,30,01,E,empty
Warehouse F,05,30,02,E,empty
Warehouse F,05,30,03,E,empty
Warehouse F,05,30,04,E,empty
Warehouse F,05,30,05,E,empty
Warehouse F,05,30,06,E,empty
Warehouse F,05,30,07,E,empty
Warehouse F,05,30,08,E,empty
Warehouse F,05,30,09,E,empty
Warehouse F,05,30,10,E,empty
Warehouse F,05,30,11,E,empty
Warehouse F,05,30,12,E,empty
Warehouse F,05,30,13,E,empty
Warehouse F,05,30,14,E,empty
Warehouse F,05,30,15,E,empty
Warehouse F,05,30,16,E,empty
Warehouse F,05,30,01,F,empty
Warehouse F,05,30,02,F,empty
Warehouse F,05,30,03,F,empty
Warehouse F,05,30,04,F,empty
Warehouse F,05,30,05,F,empty
Warehouse F,05,30,06,F,empty
Warehouse F,05,30,07,F,empty
Warehouse F,05,30,08,F,empty
Warehouse F,05,30,09,F,empty
Warehouse F,05,30,10,F,empty
Warehouse F,05,30,11,F,empty
Warehouse F,05,30,12,F,empty
Warehouse F,05,30,13,F,empty
Warehouse F,05,30,14,F,empty
Warehouse F,05,30,15,F,empty
Warehouse F,05,30,16,F,empty
Warehouse F,05,30,01,A,empty
Warehouse F,05,30,02,A,empty
Warehouse F,05,30,03,A,empty
Warehouse F,05,30,04,A,empty
Warehouse F,05,30,05,A,empty
Warehouse F,05,30,06,A,empty
Warehouse F,05,30,07,A,empty
Warehouse F,05,30,08,A,empty
Warehouse F,05,30,09,A,empty
Warehouse F,05,30,10,A,empty
Warehouse F,05,30,11,A,empty
Warehouse F,05,30,12,A,empty
Warehouse F,05,30,13,A,empty
Warehouse F,05,30,14,A,empty
Warehouse F,05,30,15,A,empty
Warehouse F,05,30,16,A,empty
Warehouse F,05,30,01,B,empty
Warehouse F,05,30,02,B,empty
Warehouse F,05,30,03,B,empty
Warehouse F,05,30,04,B,empty
Warehouse F,05,30,05,B,empty
Warehouse F,05,30,06,B,empty
Warehouse F,05,30,07,B,empty
Warehouse F,05,30,08,B,empty
Warehouse F,05,30,09,B,empty
Warehouse F,05,30,10,B,empty
Warehouse F,05,30,11,B,empty
Warehouse F,05,30,12,B,empty
Warehouse F,05,30,13,B,empty
Warehouse F,05,30,14,B,empty
Warehouse F,05,30,15,B,empty
Warehouse F,05,30,16,B,empty
Warehouse F,05,30,01,C,empty
Warehouse F,05,30,02,C,empty
Warehouse F,05,30,03,C,empty
Warehouse F,05,30,04,C,empty
Warehouse F,05,30,05,C,empty
Warehouse F,05,30,06,C,empty
Warehouse F,05,30,07,C,empty
Warehouse F,05,30,08,C,empty
Warehouse F,05,30,09,C,empty
Warehouse F,05,30,10,C,empty
Warehouse F,05,30,11,C,empty
Warehouse F,05,30,12,C,empty
Warehouse F,05,30,13,C,empty
Warehouse F,05,30,14,C,empty
Warehouse F,05,30,15,C,empty
Warehouse F,05,30,16,C,empty
Warehouse F,05,02,01,E,empty
Warehouse F,05,02,02,E,empty
Warehouse F,05,02,03,E,empty
Warehouse F,05,02,04,E,empty
Warehouse F,05,02,05,E,empty
Warehouse F,05,02,06,E,empty
Warehouse F,05,02,07,E,empty
Warehouse F,05,02,08,E,empty
Warehouse F,05,02,09,E,empty
Warehouse F,05,02,10,E,empty
Warehouse F,05,02,11,E,empty
Warehouse F,05,02,12,E,empty
Warehouse F,05,02,13,E,empty
Warehouse F,05,02,14,E,empty
Warehouse F,05,02,01,D,empty
Warehouse F,05,02,02,D,empty
Warehouse F,05,02,03,D,empty
Warehouse F,05,02,04,D,empty
Warehouse F,05,02,05,D,empty
Warehouse F,05,02,06,D,empty
Warehouse F,05,02,07,D,empty
Warehouse F,05,02,08,D,empty
Warehouse F,05,02,09,D,empty
Warehouse F,05,02,10,D,empty
Warehouse F,05,02,11,D,empty
Warehouse F,05,02,12,D,empty
Warehouse F,05,02,13,D,empty
Warehouse F,05,02,14,D,empty
Warehouse F,05,02,01,G,empty
Warehouse F,05,02,02,G,empty
Warehouse F,05,02,03,G,empty
Warehouse F,05,02,04,G,empty
Warehouse F,05,02,05,G,empty
Warehouse F,05,02,06,G,empty
Warehouse F,05,02,07,G,empty
Warehouse F,05,02,08,G,empty
Warehouse F,05,02,09,G,empty
Warehouse F,05,02,10,G,empty
Warehouse F,05,02,11,G,empty
Warehouse F,05,02,12,G,empty
Warehouse F,05,02,13,G,empty
Warehouse F,05,02,14,G,empty
Warehouse F,05,02,01,H,empty
Warehouse F,05,02,02,H,empty
Warehouse F,05,02,03,H,empty
Warehouse F,05,02,04,H,empty
Warehouse F,05,02,05,H,empty
Warehouse F,05,02,06,H,empty
Warehouse F,05,02,07,H,empty
Warehouse F,05,02,08,H,empty
Warehouse F,05,02,09,H,empty
Warehouse F,05,02,10,H,empty
Warehouse F,05,02,11,H,empty
Warehouse F,05,02,12,H,empty
Warehouse F,05,02,13,H,empty
Warehouse F,05,02,14,H,empty
Warehouse F,05,02,01,F,empty
Warehouse F,05,02,02,F,empty
Warehouse F,05,02,03,F,empty
Warehouse F,05,02,04,F,empty
Warehouse F,05,02,05,F,empty
Warehouse F,05,02,06,F,empty
Warehouse F,05,02,07,F,empty
Warehouse F,05,02,08,F,empty
Warehouse F,05,02,09,F,empty
Warehouse F,05,02,10,F,empty
Warehouse F,05,02,11,F,empty
Warehouse F,05,02,12,F,empty
Warehouse F,05,02,13,F,empty
Warehouse F,05,02,14,F,empty
Warehouse F,05,02,01,A,empty
Warehouse F,05,02,02,A,empty
Warehouse F,05,02,03,A,empty
Warehouse F,05,02,04,A,empty
Warehouse F,05,02,05,A,empty
Warehouse F,05,02,06,A,empty
Warehouse F,05,02,07,A,empty
Warehouse F,05,02,08,A,empty
Warehouse F,05,02,09,A,empty
Warehouse F,05,02,10,A,empty
Warehouse F,05,02,11,A,empty
Warehouse F,05,02,12,A,empty
Warehouse F,05,02,13,A,empty
Warehouse F,05,02,14,A,empty
Warehouse F,05,02,01,B,empty
Warehouse F,05,02,02,B,empty
Warehouse F,05,02,03,B,empty
Warehouse F,05,02,04,B,empty
Warehouse F,05,02,05,B,empty
Warehouse F,05,02,06,B,empty
Warehouse F,05,02,07,B,empty
Warehouse F,05,02,08,B,empty
Warehouse F,05,02,09,B,empty
Warehouse F,05,02,10,B,empty
Warehouse F,05,02,11,B,empty
Warehouse F,05,02,12,B,empty
Warehouse F,05,02,13,B,empty
Warehouse F,05,02,14,B,empty
Warehouse F,05,02,01,C,empty
Warehouse F,05,02,02,C,empty
Warehouse F,05,02,03,C,empty
Warehouse F,05,02,04,C,empty
Warehouse F,05,02,05,C,empty
Warehouse F,05,02,06,C,empty
Warehouse F,05,02,07,C,empty
Warehouse F,05,02,08,C,empty
Warehouse F,05,02,09,C,empty
Warehouse F,05,02,10,C,empty
Warehouse F,05,02,11,C,empty
Warehouse F,05,02,12,C,empty
Warehouse F,05,02,13,C,empty
Warehouse F,05,02,14,C,empty
Warehouse F,05,03,01,A,empty
Warehouse F,05,03,02,A,empty
Warehouse F,05,03,03,A,empty
Warehouse F,05,03,04,A,empty
Warehouse F,05,03,05,A,empty
Warehouse F,05,03,06,A,empty
Warehouse F,05,03,07,A,empty
Warehouse F,05,03,08,A,empty
Warehouse F,05,03,09,A,empty
Warehouse F,05,03,10,A,empty
Warehouse F,05,03,11,A,empty
Warehouse F,05,03,12,A,empty
Warehouse F,05,03,13,A,empty
Warehouse F,05,03,14,A,empty
Warehouse F,05,03,01,B,empty
Warehouse F,05,03,02,B,empty
Warehouse F,05,03,03,B,empty
Warehouse F,05,03,04,B,empty
Warehouse F,05,03,05,B,empty
Warehouse F,05,03,06,B,empty
Warehouse F,05,03,07,B,empty
Warehouse F,05,03,08,B,empty
Warehouse F,05,03,09,B,empty
Warehouse F,05,03,10,B,empty
Warehouse F,05,03,11,B,empty
Warehouse F,05,03,12,B,empty
Warehouse F,05,03,13,B,empty
Warehouse F,05,03,14,B,empty
Warehouse F,05,03,01,C,empty
Warehouse F,05,03,02,C,empty
Warehouse F,05,03,03,C,empty
Warehouse F,05,03,04,C,empty
Warehouse F,05,03,05,C,empty
Warehouse F,05,03,06,C,empty
Warehouse F,05,03,07,C,empty
Warehouse F,05,03,08,C,empty
Warehouse F,05,03,09,C,empty
Warehouse F,05,03,10,C,empty
Warehouse F,05,03,11,C,empty
Warehouse F,05,03,12,C,empty
Warehouse F,05,03,13,C,empty
Warehouse F,05,03,14,C,empty
Warehouse F,05,04,01,A,empty
Warehouse F,05,04,02,A,empty
Warehouse F,05,04,03,A,empty
Warehouse F,05,04,04,A,empty
Warehouse F,05,04,05,A,empty
Warehouse F,05,04,06,A,empty
Warehouse F,05,04,07,A,empty
Warehouse F,05,04,08,A,empty
Warehouse F,05,04,09,A,empty
Warehouse F,05,04,10,A,empty
Warehouse F,05,04,11,A,empty
Warehouse F,05,04,12,A,empty
Warehouse F,05,04,13,A,empty
Warehouse F,05,04,14,A,empty
Warehouse F,05,04,01,B,empty
Warehouse F,05,04,02,B,empty
Warehouse F,05,04,03,B,empty
Warehouse F,05,04,04,B,empty
Warehouse F,05,04,05,B,empty
Warehouse F,05,04,06,B,empty
Warehouse F,05,04,07,B,empty
Warehouse F,05,04,08,B,empty
Warehouse F,05,04,09,B,empty
Warehouse F,05,04,10,B,empty
Warehouse F,05,04,11,B,empty
Warehouse F,05,04,12,B,empty
Warehouse F,05,04,13,B,empty
Warehouse F,05,04,14,B,empty
Warehouse F,05,04,01,C,empty
Warehouse F,05,04,02,C,empty
Warehouse F,05,04,03,C,empty
Warehouse F,05,04,04,C,empty
Warehouse F,05,04,05,C,empty
Warehouse F,05,04,06,C,empty
Warehouse F,05,04,07,C,empty
Warehouse F,05,04,08,C,empty
Warehouse F,05,04,09,C,empty
Warehouse F,05,04,10,C,empty
Warehouse F,05,04,11,C,empty
Warehouse F,05,04,12,C,empty
Warehouse F,05,04,13,C,empty
Warehouse F,05,04,14,C,empty
Warehouse F,05,05,01,A,empty
Warehouse F,05,05,02,A,empty
Warehouse F,05,05,03,A,empty
Warehouse F,05,05,04,A,empty
Warehouse F,05,05,05,A,empty
Warehouse F,05,05,06,A,empty
Warehouse F,05,05,07,A,empty
Warehouse F,05,05,08,A,empty
Warehouse F,05,05,09,A,empty
Warehouse F,05,05,10,A,empty
Warehouse F,05,05,11,A,empty
Warehouse F,05,05,12,A,empty
Warehouse F,05,05,13,A,empty
Warehouse F,05,05,14,A,empty
Warehouse F,05,05,01,B,empty
Warehouse F,05,05,02,B,empty
Warehouse F,05,05,03,B,empty
Warehouse F,05,05,04,B,empty
Warehouse F,05,05,05,B,empty
Warehouse F,05,05,06,B,empty
Warehouse F,05,05,07,B,empty
Warehouse F,05,05,08,B,empty
Warehouse F,05,05,09,B,empty
Warehouse F,05,05,10,B,empty
Warehouse F,05,05,11,B,empty
Warehouse F,05,05,12,B,empty
Warehouse F,05,05,13,B,empty
Warehouse F,05,05,14,B,empty
Warehouse F,05,05,01,C,empty
Warehouse F,05,05,02,C,empty
Warehouse F,05,05,03,C,empty
Warehouse F,05,05,04,C,empty
Warehouse F,05,05,05,C,empty
Warehouse F,05,05,06,C,empty
Warehouse F,05,05,07,C,empty
Warehouse F,05,05,08,C,empty
Warehouse F,05,05,09,C,empty
Warehouse F,05,05,10,C,empty
Warehouse F,05,05,11,C,empty
Warehouse F,05,05,12,C,empty
Warehouse F,05,05,13,C,empty
Warehouse F,05,05,14,C,empty
Warehouse F,05,06,01,A,empty
Warehouse F,05,06,02,A,empty
Warehouse F,05,06,03,A,empty
Warehouse F,05,06,04,A,empty
Warehouse F,05,06,05,A,empty
Warehouse F,05,06,06,A,empty
Warehouse F,05,06,07,A,empty
Warehouse F,05,06,08,A,empty
Warehouse F,05,06,09,A,empty
Warehouse F,05,06,10,A,empty
Warehouse F,05,06,11,A,empty
Warehouse F,05,06,12,A,empty
Warehouse F,05,06,13,A,empty
Warehouse F,05,06,14,A,empty
Warehouse F,05,06,01,B,empty
Warehouse F,05,06,02,B,empty
Warehouse F,05,06,03,B,empty
Warehouse F,05,06,04,B,empty
Warehouse F,05,06,05,B,empty
Warehouse F,05,06,06,B,empty
Warehouse F,05,06,07,B,empty
Warehouse F,05,06,08,B,empty
Warehouse F,05,06,09,B,empty
Warehouse F,05,06,10,B,empty
Warehouse F,05,06,11,B,empty
Warehouse F,05,06,12,B,empty
Warehouse F,05,06,13,B,empty
Warehouse F,05,06,14,B,empty
Warehouse F,05,06,01,C,empty
Warehouse F,05,06,02,C,empty
Warehouse F,05,06,03,C,empty
Warehouse F,05,06,04,C,empty
Warehouse F,05,06,05,C,empty
Warehouse F,05,06,06,C,empty
Warehouse F,05,06,07,C,empty
Warehouse F,05,06,08,C,empty
Warehouse F,05,06,09,C,empty
Warehouse F,05,06,10,C,empty
Warehouse F,05,06,11,C,empty
Warehouse F,05,06,12,C,empty
Warehouse F,05,06,13,C,empty
Warehouse F,05,06,14,C,empty
Warehouse F,05,07,01,A,empty
Warehouse F,05,07,02,A,empty
Warehouse F,05,07,03,A,empty
Warehouse F,05,07,04,A,empty
Warehouse F,05,07,05,A,empty
Warehouse F,05,07,06,A,empty
Warehouse F,05,07,07,A,empty
Warehouse F,05,07,08,A,empty
Warehouse F,05,07,09,A,empty
Warehouse F,05,07,10,A,empty
Warehouse F,05,07,11,A,empty
Warehouse F,05,07,12,A,empty
Warehouse F,05,07,13,A,empty
Warehouse F,05,07,14,A,empty
Warehouse F,05,07,01,B,empty
Warehouse F,05,07,02,B,empty
Warehouse F,05,07,03,B,empty
Warehouse F,05,07,04,B,empty
Warehouse F,05,07,05,B,empty
Warehouse F,05,07,06,B,empty
Warehouse F,05,07,07,B,empty
Warehouse F,05,07,08,B,empty
Warehouse F,05,07,09,B,empty
Warehouse F,05,07,10,B,empty
Warehouse F,05,07,11,B,empty
Warehouse F,05,07,12,B,empty
Warehouse F,05,07,13,B,empty
Warehouse F,05,07,14,B,empty
Warehouse F,05,07,01,C,empty
Warehouse F,05,07,02,C,empty
Warehouse F,05,07,03,C,empty
Warehouse F,05,07,04,C,empty
Warehouse F,05,07,05,C,empty
Warehouse F,05,07,06,C,empty
Warehouse F,05,07,07,C,empty
Warehouse F,05,07,08,C,empty
Warehouse F,05,07,09,C,empty
Warehouse F,05,07,10,C,empty
Warehouse F,05,07,11,C,empty
Warehouse F,05,07,12,C,empty
Warehouse F,05,07,13,C,empty
Warehouse F,05,07,14,C,empty
Warehouse F,05,08,01,A,empty
Warehouse F,05,08,02,A,empty
Warehouse F,05,08,03,A,empty
Warehouse F,05,08,04,A,empty
Warehouse F,05,08,05,A,empty
Warehouse F,05,08,06,A,empty
Warehouse F,05,08,07,A,empty
Warehouse F,05,08,08,A,empty
Warehouse F,05,08,09,A,empty
Warehouse F,05,08,10,A,empty
Warehouse F,05,08,11,A,empty
Warehouse F,05,08,12,A,empty
Warehouse F,05,08,13,A,empty
Warehouse F,05,08,14,A,empty
Warehouse F,05,08,01,B,empty
Warehouse F,05,08,02,B,empty
Warehouse F,05,08,03,B,empty
Warehouse F,05,08,04,B,empty
Warehouse F,05,08,05,B,empty
Warehouse F,05,08,06,B,empty
Warehouse F,05,08,07,B,empty
Warehouse F,05,08,08,B,empty
Warehouse F,05,08,09,B,empty
Warehouse F,05,08,10,B,empty
Warehouse F,05,08,11,B,empty
Warehouse F,05,08,12,B,empty
Warehouse F,05,08,13,B,empty
Warehouse F,05,08,14,B,empty
Warehouse F,05,08,01,C,empty
Warehouse F,05,08,02,C,empty
Warehouse F,05,08,03,C,empty
Warehouse F,05,08,04,C,empty
Warehouse F,05,08,05,C,empty
Warehouse F,05,08,06,C,empty
Warehouse F,05,08,07,C,empty
Warehouse F,05,08,08,C,empty
Warehouse F,05,08,09,C,empty
Warehouse F,05,08,10,C,empty
Warehouse F,05,08,11,C,empty
Warehouse F,05,08,12,C,empty
Warehouse F,05,08,13,C,empty
Warehouse F,05,08,14,C,empty
Warehouse F,05,09,01,A,empty
Warehouse F,05,09,02,A,empty
Warehouse F,05,09,03,A,empty
Warehouse F,05,09,04,A,empty
Warehouse F,05,09,05,A,empty
Warehouse F,05,09,06,A,empty
Warehouse F,05,09,07,A,empty
Warehouse F,05,09,08,A,empty
Warehouse F,05,09,09,A,empty
Warehouse F,05,09,10,A,empty
Warehouse F,05,09,11,A,empty
Warehouse F,05,09,12,A,empty
Warehouse F,05,09,13,A,empty
Warehouse F,05,09,14,A,empty
Warehouse F,05,09,01,B,empty
Warehouse F,05,09,02,B,empty
Warehouse F,05,09,03,B,empty
Warehouse F,05,09,04,B,empty
Warehouse F,05,09,05,B,empty
Warehouse F,05,09,06,B,empty
Warehouse F,05,09,07,B,empty
Warehouse F,05,09,08,B,empty
Warehouse F,05,09,09,B,empty
Warehouse F,05,09,10,B,empty
Warehouse F,05,09,11,B,empty
Warehouse F,05,09,12,B,empty
Warehouse F,05,09,13,B,empty
Warehouse F,05,09,14,B,empty
Warehouse F,05,09,01,C,empty
Warehouse F,05,09,02,C,empty
Warehouse F,05,09,03,C,empty
Warehouse F,05,09,04,C,empty
Warehouse F,05,09,05,C,empty
Warehouse F,05,09,06,C,empty
Warehouse F,05,09,07,C,empty
Warehouse F,05,09,08,C,empty
Warehouse F,05,09,09,C,empty
Warehouse F,05,09,10,C,empty
Warehouse F,05,09,11,C,empty
Warehouse F,05,09,12,C,empty
Warehouse F,05,09,13,C,empty
Warehouse F,05,09,14,C,empty
Warehouse F,05,10,01,A,empty
Warehouse F,05,10,02,A,empty
Warehouse F,05,10,03,A,empty
Warehouse F,05,10,04,A,empty
Warehouse F,05,10,05,A,empty
Warehouse F,05,10,06,A,empty
Warehouse F,05,10,07,A,empty
Warehouse F,05,10,08,A,empty
Warehouse F,05,10,09,A,empty
Warehouse F,05,10,10,A,empty
Warehouse F,05,10,11,A,empty
Warehouse F,05,10,12,A,empty
Warehouse F,05,10,13,A,empty
Warehouse F,05,10,14,A,empty
Warehouse F,05,10,01,B,empty
Warehouse F,05,10,02,B,empty
Warehouse F,05,10,03,B,empty
Warehouse F,05,10,04,B,empty
Warehouse F,05,10,05,B,empty
Warehouse F,05,10,06,B,empty
