regNumber,size,status,description,bizplaceName
BPF4836,8 ton,available,own truck,Kimeda Sdn Bhd
BLR1420,8 ton,available,own truck,Kimeda Sdn Bhd
BHH896,8 ton,available,own truck,Kimeda Sdn Bhd
BGU4042,8 ton,available,own truck,Kimeda Sdn Bhd
NAH9397,8 ton,available,own truck,Kimeda Sdn Bhd
BKM5158,3 ton,available,own truck,Kimeda Sdn Bhd
BDV8327,3 ton,available,own truck,Kimeda Sdn Bhd
BNR9071,3 ton,available,own truck,Kimeda Sdn Bhd
BLY9144,3 ton,available,own truck,Kimeda Sdn Bhd
BNJ7285,1 ton,available,own truck,Kimeda Sdn Bhd
BNB4504,3 ton,available,own truck,Kimeda Sdn Bhd
BMG7542,3 ton,available,own truck,Kimeda Sdn Bhd
BKK3289,1 ton,available,contractor truck,Kimeda Sdn Bhd
WCT4514,3 ton,available,contractor truck,Kimeda Sdn Bhd
WFE2513,3 ton,available,contractor truck,Kimeda Sdn Bhd
BEQ9068,5 ton,available,contractor truck,Kimeda Sdn Bhd
BKB9510,3 ton,available,contractor truck,Kimeda Sdn Bhd
BKX8147,5 ton,available,contractor truck,Kimeda Sdn Bhd
BFQ7960,1 ton,available,contractor truck,Kimeda Sdn Bhd
NAG4226,8 ton,available,contractor truck,Kimeda Sdn Bhd
